city,year,avg_temp
Algiers,1753,16.44
Algiers,1754,16.48
Algiers,1755,16.19
Algiers,1756,16.58
Algiers,1757,16.37
Algiers,1758,15.18
Algiers,1759,16.31
Algiers,1760,15.87
Algiers,1761,16.55
Algiers,1762,16.51
Algiers,1763,15.85
Algiers,1764,16.56
Algiers,1765,16.54
Algiers,1766,16.49
Algiers,1767,16.31
Algiers,1768,15.53
Algiers,1769,16.25
Algiers,1770,16.13
Algiers,1771,16.65
Algiers,1772,17.45
Algiers,1773,16.21
Algiers,1774,16.78
Algiers,1775,16.92
Algiers,1776,16.36
Algiers,1777,16.13
Algiers,1778,16.59
Algiers,1779,16.69
Algiers,1780,17.20
Algiers,1781,16.65
Algiers,1782,15.99
Algiers,1783,16.29
Algiers,1784,16.25
Algiers,1785,16.00
Algiers,1786,16.43
Algiers,1787,16.49
Algiers,1788,16.99
Algiers,1789,15.82
Algiers,1790,16.53
Algiers,1791,16.62
Algiers,1792,16.44
Algiers,1793,16.21
Algiers,1794,16.27
Algiers,1795,16.45
Algiers,1796,16.42
Algiers,1797,16.24
Algiers,1798,16.50
Algiers,1799,16.42
Algiers,1800,16.99
Algiers,1801,16.80
Algiers,1802,17.00
Algiers,1803,16.66
Algiers,1804,17.03
Algiers,1805,16.04
Algiers,1806,16.50
Algiers,1807,16.35
Algiers,1808,15.36
Algiers,1809,15.55
Algiers,1810,15.49
Algiers,1811,15.91
Algiers,1812,15.31
Algiers,1813,15.63
Algiers,1814,15.18
Algiers,1815,15.82
Algiers,1816,15.16
Algiers,1817,16.07
Algiers,1818,16.43
Algiers,1819,15.97
Algiers,1820,16.07
Algiers,1821,16.24
Algiers,1822,16.68
Algiers,1823,15.96
Algiers,1824,16.22
Algiers,1825,16.33
Algiers,1826,16.11
Algiers,1827,16.11
Algiers,1828,16.62
Algiers,1829,15.92
Algiers,1830,16.40
Algiers,1831,16.42
Algiers,1832,16.16
Algiers,1833,16.01
Algiers,1834,16.56
Algiers,1835,15.61
Algiers,1836,15.82
Algiers,1837,15.67
Algiers,1838,16.23
Algiers,1839,16.13
Algiers,1840,16.21
Algiers,1841,16.39
Algiers,1842,16.19
Algiers,1843,16.28
Algiers,1844,16.26
Algiers,1845,16.03
Algiers,1846,16.84
Algiers,1847,16.16
Algiers,1848,15.91
Algiers,1849,16.26
Algiers,1850,15.95
Algiers,1851,15.91
Algiers,1852,16.51
Algiers,1853,16.05
Algiers,1854,15.86
Algiers,1855,15.91
Algiers,1856,16.27
Algiers,1857,16.03
Algiers,1858,16.81
Algiers,1859,15.96
Algiers,1860,15.31
Algiers,1861,15.84
Algiers,1862,16.70
Algiers,1863,15.98
Algiers,1864,16.51
Algiers,1865,16.50
Algiers,1866,16.49
Algiers,1867,16.77
Algiers,1868,16.18
Algiers,1869,16.20
Algiers,1870,16.09
Algiers,1871,15.98
Algiers,1872,16.35
Algiers,1873,16.21
Algiers,1874,16.12
Algiers,1875,15.98
Algiers,1876,16.37
Algiers,1877,16.41
Algiers,1878,16.90
Algiers,1879,16.03
Algiers,1880,16.37
Algiers,1881,17.05
Algiers,1882,16.09
Algiers,1883,15.56
Algiers,1884,15.33
Algiers,1885,15.78
Algiers,1886,15.84
Algiers,1887,15.86
Algiers,1888,15.86
Algiers,1889,15.45
Algiers,1890,15.22
Algiers,1891,15.84
Algiers,1892,16.60
Algiers,1893,16.89
Algiers,1894,16.15
Algiers,1895,17.11
Algiers,1896,15.50
Algiers,1897,16.73
Algiers,1898,16.32
Algiers,1899,17.22
Algiers,1900,16.26
Algiers,1901,15.87
Algiers,1902,16.61
Algiers,1903,15.94
Algiers,1904,16.55
Algiers,1905,16.06
Algiers,1906,15.80
Algiers,1907,15.85
Algiers,1908,16.24
Algiers,1909,15.89
Algiers,1910,15.71
Algiers,1911,16.22
Algiers,1912,16.02
Algiers,1913,16.62
Algiers,1914,16.06
Algiers,1915,16.15
Algiers,1916,16.16
Algiers,1917,15.64
Algiers,1918,15.66
Algiers,1919,15.81
Algiers,1920,16.60
Algiers,1921,16.16
Algiers,1922,16.47
Algiers,1923,15.63
Algiers,1924,16.95
Algiers,1925,15.62
Algiers,1926,16.80
Algiers,1927,17.00
Algiers,1928,16.74
Algiers,1929,16.06
Algiers,1930,16.84
Algiers,1931,17.09
Algiers,1932,16.41
Algiers,1933,16.59
Algiers,1934,16.08
Algiers,1935,16.32
Algiers,1936,16.25
Algiers,1937,17.04
Algiers,1938,16.32
Algiers,1939,16.20
Algiers,1940,16.60
Algiers,1941,16.40
Algiers,1942,16.95
Algiers,1943,16.77
Algiers,1944,16.08
Algiers,1945,17.23
Algiers,1946,16.80
Algiers,1947,17.51
Algiers,1948,16.82
Algiers,1949,17.03
Algiers,1950,16.88
Algiers,1951,16.56
Algiers,1952,17.09
Algiers,1953,16.34
Algiers,1954,16.12
Algiers,1955,17.29
Algiers,1956,15.75
Algiers,1957,16.15
Algiers,1958,16.87
Algiers,1959,16.69
Algiers,1960,16.78
Algiers,1961,17.49
Algiers,1962,16.50
Algiers,1963,16.43
Algiers,1964,16.77
Algiers,1965,16.55
Algiers,1966,16.79
Algiers,1967,16.78
Algiers,1968,16.87
Algiers,1969,16.23
Algiers,1970,16.53
Algiers,1971,16.17
Algiers,1972,15.80
Algiers,1973,16.23
Algiers,1974,16.11
Algiers,1975,15.98
Algiers,1976,15.65
Algiers,1977,16.79
Algiers,1978,16.19
Algiers,1979,16.50
Algiers,1980,16.19
Algiers,1981,16.82
Algiers,1982,16.83
Algiers,1983,17.14
Algiers,1984,16.03
Algiers,1985,16.99
Algiers,1986,16.82
Algiers,1987,17.59
Algiers,1988,17.32
Algiers,1989,17.55
Algiers,1990,17.48
Algiers,1991,16.26
Algiers,1992,16.27
Algiers,1993,17.00
Algiers,1994,17.88
Algiers,1995,17.36
Algiers,1996,16.76
Algiers,1997,17.84
Algiers,1998,17.14
Algiers,1999,17.97
Algiers,2000,17.90
Algiers,2001,18.13
Algiers,2002,17.85
Algiers,2003,18.07
Algiers,2004,17.38
Algiers,2005,17.19
Algiers,2006,18.13
Algiers,2007,17.42
Algiers,2008,17.55
Algiers,2009,17.78
Algiers,2010,17.59
Algiers,2011,17.79
Algiers,2012,17.91
Algiers,2013,17.65
